,ds,y
0,2018-01-01,26799.01
1,2018-01-02,26799.87
2,2018-01-03,26800.73
3,2018-01-04,26801.6
4,2018-01-05,26802.46
5,2018-01-06,26803.33
6,2018-01-07,26804.19
7,2018-01-08,26805.05
8,2018-01-09,26805.92
9,2018-01-10,26806.78
10,2018-01-11,26807.65
11,2018-01-12,26808.51
12,2018-01-13,26809.38
13,2018-01-14,26810.24
14,2018-01-15,26811.11
15,2018-01-16,26811.97
16,2018-01-17,26812.84
17,2018-01-18,26813.7
18,2018-01-19,26814.56
19,2018-01-20,26815.43
20,2018-01-21,26816.29
21,2018-01-22,26817.16
22,2018-01-23,26818.02
23,2018-01-24,26818.89
24,2018-01-25,26819.75
25,2018-01-26,26820.62
26,2018-01-27,26821.48
27,2018-01-28,26822.35
28,2018-01-29,26823.21
29,2018-01-30,26824.08
30,2018-01-31,26824.94
31,2018-02-01,26825.81
32,2018-02-02,26826.67
33,2018-02-03,26827.54
34,2018-02-04,26828.4
35,2018-02-05,26829.27
36,2018-02-06,26830.13
37,2018-02-07,26831.0
38,2018-02-08,26831.86
39,2018-02-09,26832.73
40,2018-02-10,26837.51
41,2018-02-11,26842.29
42,2018-02-12,26847.07
43,2018-02-13,26851.86
44,2018-02-14,26856.64
45,2018-02-15,26861.42
46,2018-02-16,26866.21
47,2018-02-17,26870.99
48,2018-02-18,26875.78
49,2018-02-19,26880.57
50,2018-02-20,26885.36
51,2018-02-21,26890.15
52,2018-02-22,26894.94
53,2018-02-23,26899.73
54,2018-02-24,26904.52
55,2018-02-25,26909.31
56,2018-02-26,26914.11
57,2018-02-27,26918.9
58,2018-02-28,26923.7
59,2018-03-01,26928.49
60,2018-03-02,26933.29
61,2018-03-03,26938.09
62,2018-03-04,26942.89
63,2018-03-05,26947.69
64,2018-03-06,26952.49
65,2018-03-07,26957.29
66,2018-03-08,26962.09
67,2018-03-09,26966.89
68,2018-03-10,26966.89
69,2018-03-11,26966.89
70,2018-03-12,26966.89
71,2018-03-13,26966.89
72,2018-03-14,26966.89
73,2018-03-15,26966.89
74,2018-03-16,26966.89
75,2018-03-17,26966.89
76,2018-03-18,26966.89
77,2018-03-19,26966.89
78,2018-03-20,26966.89
79,2018-03-21,26966.89
80,2018-03-22,26966.89
81,2018-03-23,26966.89
82,2018-03-24,26966.89
83,2018-03-25,26966.89
84,2018-03-26,26966.89
85,2018-03-27,26966.89
86,2018-03-28,26966.89
87,2018-03-29,26966.89
88,2018-03-30,26966.89
89,2018-03-31,26966.89
90,2018-04-01,26966.89
91,2018-04-02,26966.89
92,2018-04-03,26966.89
93,2018-04-04,26966.89
94,2018-04-05,26966.89
95,2018-04-06,26966.89
96,2018-04-07,26966.89
97,2018-04-08,26966.89
98,2018-04-09,26966.89
99,2018-04-10,26968.69
100,2018-04-11,26970.48
101,2018-04-12,26972.28
102,2018-04-13,26974.07
103,2018-04-14,26975.87
104,2018-04-15,26977.67
105,2018-04-16,26979.46
106,2018-04-17,26981.26
107,2018-04-18,26983.06
108,2018-04-19,26984.86
109,2018-04-20,26986.65
110,2018-04-21,26988.45
111,2018-04-22,26990.25
112,2018-04-23,26992.05
113,2018-04-24,26993.84
114,2018-04-25,26995.64
115,2018-04-26,26997.44
116,2018-04-27,26999.24
117,2018-04-28,27001.04
118,2018-04-29,27002.83
119,2018-04-30,27004.63
120,2018-05-01,27006.43
121,2018-05-02,27008.23
122,2018-05-03,27010.03
123,2018-05-04,27011.83
124,2018-05-05,27013.63
125,2018-05-06,27015.43
126,2018-05-07,27017.22
127,2018-05-08,27019.02
128,2018-05-09,27020.82
129,2018-05-10,27023.43
130,2018-05-11,27026.04
131,2018-05-12,27028.65
132,2018-05-13,27031.27
133,2018-05-14,27033.88
134,2018-05-15,27036.49
135,2018-05-16,27039.1
136,2018-05-17,27041.72
137,2018-05-18,27044.33
138,2018-05-19,27046.94
139,2018-05-20,27049.56
140,2018-05-21,27052.17
141,2018-05-22,27054.78
142,2018-05-23,27057.4
143,2018-05-24,27060.01
144,2018-05-25,27062.63
145,2018-05-26,27065.24
146,2018-05-27,27067.86
147,2018-05-28,27070.47
148,2018-05-29,27073.09
149,2018-05-30,27075.71
150,2018-05-31,27078.32
151,2018-06-01,27080.94
152,2018-06-02,27083.56
153,2018-06-03,27086.17
154,2018-06-04,27088.79
155,2018-06-05,27091.41
